Entity1;Entity2;ClickstreamEnt1Ent2;PopularityEnt1;PopularityEnt2;PopularityDiff;PopularitySum;CosineSimilarityEnt1Ent2;DBpediaSimilarityEnt1Ent2;DBpediaRelatednessEnt1Ent2;PalmaInterestingnessEnt1Ent2; Int_Hum_Eval
'Genghis_Khan'; 'Alexander_the_Great';104;101913.33;113391.33;11478.0;215304.66;0.35;0.83;0.39;1.23;1
'The_Suicide_of_Saul'; 'Alexander_the_Great';13;311.0;113391.33;113080.33;113702.33;0.24;0.17;0.62;15.03;1
'Pericles'; 'Alexander_the_Great';48;43939.1;113391.33;69452.23;157330.43;0.36;0.52;0.34;0.0;0
'Scythians'; 'Alexander_the_Great';18;33211.68;113391.33;80179.65;146603.01;0.34;0.11;0.3;6.11;1
'Alexander_the_Great'; 'Egyptian_hieroglyphs';23;113391.33;18909.0;94482.33;132300.33;0.39;0.11;0.45;6.68
'Alexander_the_Great'; 'Susa';139;113391.33;11417.09;101974.24;124808.42;0.38;0.13;0.26;1.78
'Alexander_the_Great'; 'Library_of_Alexandria';18;113391.33;21222.0;92169.33;134613.33;0.43;0.14;0.35;4.24
'Alexander_the_Great'; 'Thermopylae';71;113391.33;12795.16;100596.17;126186.49;0.37;0.15;0.37;3.57
'Alexander_the_Great'; 'Book_of_Daniel';34;113391.33;8889.33;104502.0;122280.66;0.5;0.15;0.43;3.44
'Alexander_the_Great'; 'Bactria';119;113391.33;18362.32;95029.01;131753.65;0.47;0.14;0.25;0.76
'Alexander_the_Great'; 'Hadrian';11;113391.33;45002.42;68388.91;158393.75;0.42;0.33;0.32;1.35
'Alexander_the_Great'; 'Ancient_Greek';611;113391.33;22904.0;90487.33;136295.33;0.4;0.13;0.36;2.32
'Alexander_the_Great'; 'Dicaearchus';20;113391.33;366.32;113025.01;113757.65;0.33;0.29;0.35;2.18
'Alexander_the_Great'; 'Martin_Luther';33;113391.33;57050.67;56340.66;170442.0;0.42;0.33;0.57;4.83
'Alexander_the_Great'; 'Parthia';10;113391.33;8949.66;104441.67;122340.99;0.35;0.15;0.3;5.07
'Alexander_the_Great'; 'Nanda_Empire';177;113391.33;7291.33;106100.0;120682.66;0.33;0.14;0.36;3.16
'Alexander_the_Great'; 'Temple_of_Artemis';455;113391.33;17627.33;95764.0;131018.66;0.42;0.15;0.36;2.07
'Alexander_the_Great'; 'Itinerarium_Alexandri';10;113391.33;39.67;113351.66;113431.0;0.37;0.15;0.42;3.72
'Alexander_the_Great'; 'Argead_dynasty';1424;113391.33;2552.0;110839.33;115943.33;0.35;0.08;0.28;1.72
'Alexander_the_Great'; 'Erigyius';32;113391.33;137.89;113253.44;113529.22;0.39;0.54;0.38;0.14
'Alexander_the_Great'; 'André_Castaigne';18;113391.33;134.33;113257.0;113525.66;0.29;0.39;0.6;3.79
'Alexander_the_Great'; 'Ernst_Badian';11;113391.33;119.0;113272.33;113510.33;0.26;0.26;0.5;5.2
'Alexander_the_Great'; 'Indian_subcontinent';93;113391.33;40469.47;72921.86;153860.8;0.42;0.17;0.38;3.04
'Alexander_the_Great'; 'Antipater';394;113391.33;3927.56;109463.77;117318.89;0.48;0.6;0.25;1.67
'Alexander_the_Great'; 'Philip_II_of_Macedon';8188;113391.33;11860.0;101531.33;125251.33;0.59;0.78;0.19;2.43
'Alexander_the_Great'; 'Trajan';11;113391.33;36932.8;76458.53;150324.13;0.47;0.36;0.35;0.95
'Alexander_the_Great'; 'Heracles';30;113391.33;79891.06;33500.27;193282.39;0.33;0.34;0.32;1.99
'Alexander_the_Great'; 'Epirus_(ancient_state)';160;113391.33;1665.33;111726.0;115056.66;0.43;0.15;0.32;1.53
'Alexander_the_Great'; 'Greek_language';51;113391.33;33537.33;79854.0;146928.66;0.41;0.14;0.42;4.52
'Alexander_the_Great'; 'Diadochi';2687;113391.33;7056.32;106335.01;120447.65;0.64;0.09;0.22;0.4
'Alexander_the_Great'; 'Early_world_maps';21;113391.33;5777.33;107614.0;119168.66;0.44;0.2;0.42;3.8
'Alexander_the_Great'; 'Thessaly';20;113391.33;8789.06;104602.27;122180.39;0.36;0.17;0.36;4.57
'Alexander_the_Great'; 'Hecataeus_of_Miletus';11;113391.33;1077.33;112314.0;114468.66;0.32;0.3;0.38;3.64
'Alexander_the_Great'; 'Guillain–Barré_syndrome';193;113391.33;62266.84;51124.49;175658.17;0.26;0.08;0.79;9.22
'Alexander_the_Great'; 'Aornos';179;113391.33;483.68;112907.65;113875.01;0.45;0.1;0.4;2.09
'Alexander_the_Great'; 'Ottoman_Empire';13;113391.33;110203.33;3188.0;223594.66;0.43;0.14;0.52;9.28
'Alexander_the_Great'; 'Cyropaedia';53;113391.33;1282.11;112109.22;114673.44;0.32;0.13;0.43;4.4
'Alexander_the_Great'; 'Socrates';46;113391.33;214793.16;101401.83;328184.49;0.24;0.29;0.39;4.93
'Alexander_the_Great'; 'Lynkestis';21;113391.33;294.21;113097.12;113685.54;0.42;0.1;0.37;3.3
'Alexander_the_Great'; 'War_elephant';42;113391.33;5844.33;107547.0;119235.66;0.35;0.1;0.33;4.14
'Alexander_the_Great'; 'Plautus';22;113391.33;4679.47;108711.86;118070.8;0.4;0.34;0.46;3.13
'Alexander_the_Great'; 'Amun';139;113391.33;22285.14;91106.19;135676.47;0.38;0.1;0.41;4.12
'Alexander_the_Great'; 'Third_Macedonian_War';94;113391.33;1102.33;112289.0;114493.66;0.45;0.1;0.36;2.27
'Alexander_the_Great'; 'Jesus';32;113391.33;298018.1;184626.77;411409.43;0.39;0.33;0.48;4.22
'Alexander_the_Great'; 'Helios';11;113391.33;35345.05;78046.28;148736.38;0.49;0.09;0.34;4.87
'Alexander_the_Great'; 'Fountain_of_Youth';19;113391.33;6512.0;106879.33;119903.33;0.39;0.09;0.62;9.0
'Alexander_the_Great'; 'Karagiozis';22;113391.33;787.37;112603.96;114178.7;0.25;0.15;0.46;6.41
'Alexander_the_Great'; 'Caligula';235;113391.33;103439.82;9951.51;216831.15;0.25;0.35;0.4;2.85
'Alexander_the_Great'; 'Artaxerxes_III';88;113391.33;1478.0;111913.33;114869.33;0.36;0.85;0.28;2.15
'Alexander_the_Great'; 'Multan';44;113391.33;12505.98;100885.35;125897.31;0.27;0.13;0.43;6.6
'Alexander_the_Great'; 'Hannibal';87;113391.33;71440.18;41951.15;184831.51;0.42;0.49;0.37;0.22
'Alexander_the_Great'; 'Greeks';137;113391.33;32703.6;80687.73;146094.93;0.53;0.11;0.31;1.4
'Alexander_the_Great'; 'Attalus_(general)';56;113391.33;1203.54;112187.79;114594.87;0.42;0.58;0.3;1.12
'Alexander_the_Great'; 'Meleager_(general)';16;113391.33;452.21;112939.12;113843.54;0.43;0.58;0.3;1.51
